LocationID,Borough,Zone,service_zone,cleaned_zone,coordinates
1,EWR,Newark Airport,EWR,Newark Airport,
2,Queens,Jamaica Bay,Boro Zone,Jamaica Bay,"(40.6039936, -73.8354124)"
3,Bronx,Allerton/Pelham Gardens,Boro Zone,Pelham Gardens,"(40.8299074, -73.8730695)"
4,Manhattan,Alphabet City,Yellow Zone,Alphabet City,"(40.7251022, -73.9795833)"
5,Staten Island,Arden Heights,Boro Zone,Arden Heights,"(40.563699850000006, -74.1916031653169)"
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,Fort Wadsworth,"(40.60087245, -74.05767161208517)"
7,Queens,Astoria,Boro Zone,Astoria,"(40.7720145, -73.9302673)"
8,Queens,Astoria Park,Boro Zone,Astoria Park,"(40.7788277, -73.92265804019786)"
9,Queens,Auburndale,Boro Zone,Auburndale,"(40.7614516, -73.7897239)"
10,Queens,Baisley Park,Boro Zone,Baisley Park,"(40.67592055, -73.78496487588887)"
11,Brooklyn,Bath Beach,Boro Zone,Bath Beach,"(40.6018495, -74.000501)"
12,Manhattan,Battery Park,Yellow Zone,Battery Park,"(40.702786, -74.01577307510607)"
13,Manhattan,Battery Park City,Yellow Zone,Battery Park City,"(40.7110166, -74.0169369)"
14,Brooklyn,Bay Ridge,Boro Zone,Bay Ridge,"(40.6320062, -74.0232101)"
15,Queens,Bay Terrace/Fort Totten,Boro Zone,Fort Totten,"(40.7934184, -73.77879699648936)"
16,Queens,Bayside,Boro Zone,Bayside,"(40.7684351, -73.7770774)"
17,Brooklyn,Bedford,Boro Zone,Bedford,"(41.2041304, -73.642509)"
18,Bronx,Bedford Park,Boro Zone,Bedford Park,"(40.8700999, -73.8856912)"
19,Queens,Bellerose,Boro Zone,Bellerose,"(40.7242205, -73.7164845)"
20,Bronx,Belmont,Boro Zone,Belmont,"(42.2231241, -78.0344506)"
21,Brooklyn,Bensonhurst East,Boro Zone,Bensonhurst,"(40.6049772, -73.9934061)"
22,Brooklyn,Bensonhurst West,Boro Zone,Bensonhurst,"(40.6049772, -73.9934061)"
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,Emerson Hill,"(43.0042317, -76.7030054)"
24,Manhattan,Bloomingdale,Yellow Zone,Bloomingdale,"(44.4078279, -74.0870965)"
25,Brooklyn,Boerum Hill,Boro Zone,Boerum Hill,"(40.68562615, -73.98417065807277)"
26,Brooklyn,Borough Park,Boro Zone,Borough Park,"(40.633993, -73.9968059)"
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Fort Tilden,"(40.5614476, -73.89552105478921)"
