,location_id,borough,zone,service_zone,cleaned_zone,coordinates,latitude,longitude
0,1,EWR,Newark Liberty International Airport,EWR,Newark Liberty International Airport,,,
1,2,Queens,Jamaica Bay,Boro Zone,Jamaica Bay,"(40.6039936, -73.8354124)",40.6039936,-73.8354124
2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,Pelham Gardens,,,
3,4,Manhattan,Alphabet City,Yellow Zone,Alphabet City,"(40.7251022, -73.9795833)",40.7251022,-73.9795833
4,5,Staten Island,Arden Heights,Boro Zone,Arden Heights,"(40.563699850000006, -74.1916031653169)",40.563699850000006,-74.1916031653169
5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,Fort Wadsworth,"(40.60087245, -74.05767161208517)",40.60087245,-74.05767161208517
6,7,Queens,Astoria,Boro Zone,Astoria,"(40.7720145, -73.9302673)",40.7720145,-73.9302673
7,8,Queens,Astoria Park,Boro Zone,Astoria Park,"(40.7788277, -73.92265804019786)",40.7788277,-73.92265804019786
8,9,Queens,Auburndale,Boro Zone,Auburndale,"(40.7614516, -73.7897239)",40.7614516,-73.7897239
9,10,Queens,Baisley Park,Boro Zone,Baisley Park,"(40.67592055, -73.78496487588887)",40.67592055,-73.78496487588887
10,11,Brooklyn,Bath Beach,Boro Zone,Bath Beach,"(40.5964509, -73.99465928932547)",40.5964509,-73.99465928932547
11,12,Manhattan,Battery Park,Yellow Zone,Battery Park,"(40.702786, -74.01577307510607)",40.702786,-74.01577307510607
12,13,Manhattan,Battery Park City,Yellow Zone,Battery Park City,"(40.7110166, -74.0169369)",40.7110166,-74.0169369
13,14,Brooklyn,Bay Ridge,Boro Zone,Bay Ridge,"(40.6320062, -74.0232101)",40.6320062,-74.0232101
14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,Fort Totten,"(40.7934184, -73.77879699648936)",40.7934184,-73.77879699648936
15,16,Queens,Bayside,Boro Zone,Bayside,"(40.7631203, -73.7707449)",40.7631203,-73.7707449
16,17,Brooklyn,Bedford,Boro Zone,Bedford,"(41.2041304, -73.642509)",41.2041304,-73.642509
17,18,Bronx,Bedford Park,Boro Zone,Bedford Park,"(40.8700999, -73.8856912)",40.8700999,-73.8856912
18,19,Queens,Bellerose,Boro Zone,Bellerose,"(40.7242205, -73.7164845)",40.7242205,-73.7164845
19,20,Bronx,Belmont,Boro Zone,Belmont,"(42.2231241, -78.0344506)",42.2231241,-78.0344506
20,21,Brooklyn,Bensonhurst East,Boro Zone,Bensonhurst,"(40.6049772, -73.9934061)",40.6049772,-73.9934061
21,22,Brooklyn,Bensonhurst West,Boro Zone,Bensonhurst,"(40.6049772, -73.9934061)",40.6049772,-73.9934061
22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,Emerson Hill,"(40.6085851, -74.0945642)",40.6085851,-74.0945642
23,24,Manhattan,Bloomingdale,Yellow Zone,Bloomingdale,"(44.4078279, -74.0870965)",44.4078279,-74.0870965
24,25,Brooklyn,Boerum Hill,Boro Zone,Boerum Hill,"(40.68562615, -73.98417065807277)",40.68562615,-73.98417065807277
25,26,Brooklyn,Borough Park,Boro Zone,Borough Park,"(40.633993, -73.9968059)",40.633993,-73.9968059
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Fort Tilden,"(40.5614476, -73.89552105478921)",40.5614476,-73.89552105478921
27,28,Queens,Briarwood/Jamaica Hills,Boro Zone,Jamaica Hills,"(40.6884111, -73.8762064)",40.6884111,-73.8762064
28,29,Brooklyn,Brighton Beach,Boro Zone,Brighton Beach,"(40.57964365, -73.96111022551311)",40.57964365,-73.96111022551311
29,30,Queens,Broad Channel,Boro Zone,Broad Channel,"(40.6080187, -73.8158007)",40.6080187,-73.8158007
30,31,Bronx,Bronx Park,Boro Zone,Bronx Park,"(40.8588468, -73.87590377196466)",40.8588468,-73.87590377196466
31,32,Bronx,Bronxdale,Boro Zone,Bronxdale,"(40.8506558, -73.8665241)",40.8506558,-73.8665241
32,33,Brooklyn,Brooklyn Heights,Boro Zone,Brooklyn Heights,"(40.696084850000005, -73.99502968353846)",40.696084850000005,-73.99502968353846
33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,Brooklyn Navy Yard,"(40.6997716, -73.9753359)",40.6997716,-73.9753359
34,35,Brooklyn,Brownsville,Boro Zone,Brownsville,"(40.665306, -73.9124755)",40.665306,-73.9124755
35,36,Brooklyn,Bushwick North,Boro Zone,Bushwick North,"(40.7854163, -73.0254699)",40.7854163,-73.0254699
36,37,Brooklyn,Bushwick South,Boro Zone,Bushwick South,"(40.6942867, -73.92588360783884)",40.6942867,-73.92588360783884
37,38,Queens,Cambria Heights,Boro Zone,Cambria Heights,"(40.6945474, -73.7384653)",40.6945474,-73.7384653
38,39,Brooklyn,Canarsie,Boro Zone,Canarsie,"(40.643715, -73.9006921)",40.643715,-73.9006921
39,40,Brooklyn,Carroll Gardens,Boro Zone,Carroll Gardens,"(40.6784201, -73.9948021)",40.6784201,-73.9948021
40,41,Manhattan,Central Harlem,Boro Zone,Central Harlem,,,
41,42,Manhattan,Central Harlem North,Boro Zone,Central Harlem,,,
42,43,Manhattan,Central Park,Yellow Zone,Central Park,"(40.7827725, -73.9653627406542)",40.7827725,-73.9653627406542
43,44,Staten Island,Charleston/Tottenville,Boro Zone,Tottenville,"(40.5090747, -74.2468867)",40.5090747,-74.2468867
44,45,Manhattan,Chinatown,Yellow Zone,Chinatown,"(40.7164913, -73.9962504)",40.7164913,-73.9962504
45,46,Bronx,City Island,Boro Zone,City Island,"(40.84743325, -73.78642953814102)",40.84743325,-73.78642953814102
46,47,Bronx,Claremont/Bathgate,Boro Zone,Bathgate,"(40.85291161706231, -73.89338151701384)",40.85291161706231,-73.89338151701384
47,48,Manhattan,Clinton East,Yellow Zone,Clinton East,"(42.43707594860128, -76.4962833579142)",42.43707594860128,-76.4962833579142
48,49,Brooklyn,Clinton Hill,Boro Zone,Clinton Hill,"(40.6897222, -73.9652778)",40.6897222,-73.9652778
49,50,Manhattan,Clinton West,Yellow Zone,Clinton West,"(42.43676694285601, -76.50269225929021)",42.43676694285601,-76.50269225929021
50,51,Bronx,Co-Op City,Boro Zone,Co-Op City,"(40.8738889, -73.8294444)",40.8738889,-73.8294444
51,52,Brooklyn,Cobble Hill,Boro Zone,Cobble Hill,"(40.687547, -73.9973352)",40.687547,-73.9973352
52,53,Queens,College Point,Boro Zone,College Point,"(40.7876014, -73.8459682)",40.7876014,-73.8459682
53,54,Brooklyn,Columbia Street,Boro Zone,Columbia Street,"(40.66560286478484, -74.01148184833046)",40.66560286478484,-74.01148184833046
54,55,Brooklyn,Coney Island,Boro Zone,Coney Island,"(40.5756208, -73.9813318)",40.5756208,-73.9813318
55,56,Queens,Corona,Boro Zone,Corona,"(40.7469593, -73.8601456)",40.7469593,-73.8601456
56,57,Queens,Corona,Boro Zone,Corona,"(40.7469593, -73.8601456)",40.7469593,-73.8601456
57,58,Bronx,Country Club,Boro Zone,Country Club,"(40.8391667, -73.8197222)",40.8391667,-73.8197222
58,59,Bronx,Crotona Park,Boro Zone,Crotona Park,"(40.83881315, -73.89239847631723)",40.83881315,-73.89239847631723
59,60,Bronx,Crotona Park East,Boro Zone,Crotona Park East,"(40.838342809373806, -73.88784289648511)",40.838342809373806,-73.88784289648511
60,61,Brooklyn,Crown Heights North,Boro Zone,Crown Heights,"(40.667471, -73.9435662)",40.667471,-73.9435662
61,62,Brooklyn,Crown Heights South,Boro Zone,Crown Heights,"(40.667471, -73.9435662)",40.667471,-73.9435662
62,63,Brooklyn,Cypress Hills,Boro Zone,Cypress Hills,"(40.6770477, -73.8912474)",40.6770477,-73.8912474
63,64,Queens,Douglaston,Boro Zone,Douglaston,"(40.768358, -73.7492477)",40.768358,-73.7492477
64,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,MetroTech,"(40.692338, -73.987342)",40.692338,-73.987342
65,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Vinegar Hill,"(42.2450867, -74.3937596)",42.2450867,-74.3937596
66,67,Brooklyn,Dyker Heights,Boro Zone,Dyker Heights,"(40.6204716, -74.0116668)",40.6204716,-74.0116668
67,68,Manhattan,East Chelsea,Yellow Zone,Chelsea,"(40.7464906, -74.0015283)",40.7464906,-74.0015283
68,69,Bronx,East Concourse/Concourse Village,Boro Zone,Concourse Village,"(40.823868149999996, -73.92118091218828)",40.823868149999996,-73.92118091218828
